Tiempo,Start tree,Goal tree,Nodos Grafo,Nodos path
1.35465,300,639,939,0
1.32702,136,553,689,0
1.35009,229,645,874,0
1.40994,319,675,994,0
1.45135,294,608,902,0
1.34189,245,605,850,0
1.32597,186,543,729,0
1.32319,213,685,898,0
1.32057,241,606,847,0
1.38241,312,719,1031,0
1.3466,296,592,888,0
1.35845,307,723,1030,0
1.40336,325,640,965,0
1.32036,268,686,954,0
1.35593,283,711,994,0
1.33243,281,607,888,0
1.36395,251,728,979,0
1.39854,345,669,1014,0
1.31456,283,597,880,0
0.916143,171,472,643,66
0.337978,123,231,354,66
0.331521,68,222,290,67
0.516839,111,351,462,67
0.381232,70,262,332,67
1.32663,243,676,919,67
0.686228,131,410,541,67
0.337662,54,247,301,67
0.296938,54,200,254,67
0.326217,121,226,347,67
0.748548,172,452,624,67
0.496977,98,335,433,68
0.490461,109,294,403,68
0.324714,67,243,310,68
0.32184,64,210,274,68
0.332636,134,229,363,68
0.282985,101,185,286,68
0.509878,102,320,422,68
0.453379,87,312,399,68
0.449269,90,302,392,68
0.737134,162,407,569,68
0.453404,103,311,414,68
0.538561,135,351,486,69
0.509772,132,348,480,69
0.438349,69,259,328,69
0.341618,77,252,329,69
0.687281,172,365,537,69
0.373637,146,272,418,70
0.53891,127,357,484,70
0.270573,86,177,263,70
0.268799,86,177,263,71
0.274027,82,182,264,71
0.266969,76,177,253,71
0.917004,220,507,727,71
0.322339,102,218,320,72
0.310965,98,197,295,72
0.274093,71,182,253,73
0.29019,94,193,287,73
0.262922,79,186,265,73
0.257893,83,160,243,73
0.258588,70,166,236,73
0.5022,160,303,463,73
0.276743,83,183,266,73
0.268117,84,162,246,73
0.299584,107,201,308,73
0.269038,87,174,261,73
0.254756,72,168,240,73
0.259841,74,163,237,73
0.471623,104,281,385,73
0.287712,81,204,285,73
0.278783,80,196,276,73
0.257326,71,167,238,73
0.268561,82,178,260,73
0.493028,146,272,418,73
0.291779,87,202,289,73
0.279076,84,191,275,73
0.883847,185,506,691,73
0.273058,84,193,277,73
0.500195,137,314,451,73
0.256678,74,172,246,73
0.279695,85,185,270,73
0.469204,148,305,453,73
0.266894,80,177,257,73
0.257378,65,173,238,74
0.292036,93,183,276,74
0.266543,68,183,251,74
0.262786,78,163,241,74
0.279545,89,185,274,74
0.26588,82,167,249,74
0.257017,83,161,244,74
0.272418,73,178,251,74
0.261564,79,177,256,74
0.282486,97,183,280,74
0.289395,91,197,288,74
0.259575,74,168,242,74
0.533804,143,372,515,74
0.286132,101,186,287,74
0.281564,89,183,272,74
0.301849,85,206,291,74
0.531718,160,354,514,75
0.948607,237,554,791,75
,,,,
58.060398,Tiempo total,,,
0.3985078765,Tiempo medio acierto,,,
1.3569084211,Tiempo medio fallo,,,
,media nodos grafo,,,
71.2469135802,media nodos path,,,
19,fallos en 100,,,
