Tiempo,start tree,goal tree,graph,path
1.29558,173,503,676,0
1.27159,191,534,725,0
1.40765,386,712,1098,0
1.34777,373,648,1021,0
1.35933,351,709,1060,0
1.40187,365,721,1086,0
1.42551,160,529,689,0
1.37805,371,740,1111,0
1.36734,464,669,1133,0
1.35343,370,761,1131,0
1.37701,409,682,1091,0
1.30555,198,677,875,0
1.35994,377,732,1109,0
1.32031,336,676,1012,0
1.30952,311,634,945,0
1.40138,372,772,1144,0
1.36436,329,754,1083,0
1.35568,347,668,1015,0
1.38542,280,798,1078,0
1.36552,358,671,1029,0
1.36895,369,734,1103,0
1.27549,262,548,810,0
0.436922,102,245,347,64
0.549025,212,357,569,65
0.831239,298,412,710,66
0.386174,87,224,311,66
0.387899,93,251,344,67
0.351137,55,228,283,67
0.344565,52,227,279,67
0.850426,168,505,673,67
1.095,247,530,777,67
0.550201,118,377,495,67
0.272068,42,176,218,67
0.669804,158,384,542,67
0.583918,113,359,472,67
0.333143,63,206,269,68
0.325659,116,208,324,68
0.315848,57,202,259,68
0.354616,83,224,307,68
0.336947,67,214,281,68
0.486617,111,275,386,68
0.389739,71,271,342,68
1.02511,212,434,646,68
0.619006,177,370,547,68
0.562391,136,358,494,68
0.35276,67,214,281,68
0.844606,124,391,515,68
1.3961,335,747,1082,68
0.522165,140,327,467,69
0.507419,108,307,415,69
1.21306,309,624,933,69
1.142,205,578,783,69
1.12912,295,556,851,70
1.21841,185,518,703,71
1.31463,307,649,956,72
0.263908,78,153,231,72
0.702821,181,378,559,72
0.258423,70,147,217,73
0.267031,71,153,224,73
0.269933,81,175,256,73
0.253918,60,156,216,73
0.268078,81,166,247,73
0.256739,86,162,248,73
0.311323,125,204,329,73
0.258891,74,148,222,73
0.274683,85,162,247,73
0.231044,79,147,226,73
0.256402,75,149,224,73
0.359349,91,212,303,73
0.479619,164,321,485,73
0.254491,66,144,210,73
0.468095,146,280,426,73
0.886739,253,471,724,73
0.24986,81,160,241,73
0.266932,72,169,241,73
0.284011,94,177,271,73
0.251792,65,157,222,73
0.255407,73,149,222,73
0.259518,62,144,206,73
0.477321,119,244,363,73
0.261546,67,160,227,73
0.261308,74,161,235,73
0.337857,80,216,296,73
0.524498,93,274,367,73
0.276122,84,181,265,73
0.263523,73,164,237,73
0.262589,72,152,224,73
0.46397,86,265,351,73
0.283941,92,173,265,74
0.271939,71,154,225,74
0.267619,68,163,231,74
0.269418,73,151,224,74
0.272094,78,177,255,74
0.227834,72,156,228,74
0.272303,75,150,225,74
0.271067,72,162,234,74
0.258493,67,143,210,74
1.12658,314,658,972,75
1.19278,285,581,866,79
1.09337,331,653,984,80
,,,,
68.320153,Total tiempo,,,
0.4938833718,Tiempo medio acierto,,,
1.3544204545,Tiempo medio fallo,,,
71.0769230769,Media nodos path en acierto,,,
22,Fallos en 100,,,
